DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB04233,(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,SmallMoleculeDrug,,,5414,46506525,41323,,C8E,,,,"",,,,,,5221,,
DB04234,N2-({[(4-Bromophenyl)Methyl]Oxy}Carbonyl)-N1-[(1s)-1-Formylpentyl]-L-Leucinamide,,SmallMoleculeDrug,,,5288867,46505737,,,MYE,,,,"",,,,,,4450929,,
DB04235,4-Amino Hexanoic Acid,,SmallMoleculeDrug,,,5289553,46506258,,,VIG,,,,"",,,,,,4451492,,
DB04236,2-Amino-3-(1h-Indol-3-Yl)-Propan-1-Ol,,SmallMoleculeDrug,,,6951149,46509137,,,TPL,,,,"",,,,,,5324067,,
DB04237,Tris(Hydroxyethyl)Aminomethane,,SmallMoleculeDrug,,,448009,46506740,,,TAM,,,,"",,,,,,394944,,
DB04238,N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid,,SmallMoleculeDrug,,,446604,46506342,,,FD1,,,,"",,,,,,393920,,
DB04239,2-Amino-6-Aminomethyl-8-Phenylsulfanylmethyl-3h-Quinazolin-4-One,,SmallMoleculeDrug,,,6323390,46507865,,,KMB,,,,"",,,,,,4883397,,
DB04240,"(1S)-1-C-{(2R)-6-[(2R)-2-Butanyl]-5,10-dihydroxy-4-oxo-1,2,3,4-tetrahydro-2-anthracenyl}-5-deoxy-1-O-methyl-D-xylulose",,SmallMoleculeDrug,,,5288133,46504902,,,DXA,,,,"",,,,,,4450362,,
DB04241,N-Pyridoxyl-2-Methylalanine-5-Phosphate,,SmallMoleculeDrug,,,445009,46507871,,,NMA,,,,"",,,,,,392772,,
DB04242,P-Hydroxybenzoic Acid,,SmallMoleculeDrug,C00156,,135,46504662,30763,,PHB,,,,"",,,,,,132,26194,
DB04243,5-Methyluridine 5'-Monophosphate,,SmallMoleculeDrug,,,12803287,46506731,77120,,5MU,,,,"",,,,,,10445259,,
DB04244,(2R)-2-(3-Biphenylyl)-N-{(2R)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide,,SmallMoleculeDrug,,,5288593,46506469,,,I10,,,,"",,,,,,4450723,,
DB04246,CRA_23653,,SmallMoleculeDrug,,,17753797,46506962,,,653,,,,"",,,,,,22376357,14358,
DB04248,beta-(1->4)-galactotriose,,SmallMoleculeDrug,,,448924,46508813,40896,,B4G,,,,"",,,,,,395580,,
DB04249,Zinc Substituted Heme C,,SmallMoleculeDrug,,,131704274,46508051,,,HES,,,,"",,,,,,,,
DB04250,Butyrylthiocholine,,SmallMoleculeDrug,,,20689,46508351,41055,,BCH,,,,"",,,,,,19484,8978,
DB04252,N-Carbamoyl-L-Aspartate,,SmallMoleculeDrug,C00438,,93072,46508886,15859,,NCD,,,,"",,,,,,84022,,
DB04254,"8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine",,SmallMoleculeDrug,,,448976,46505731,,,PUX,,,,"",,,,,,395624,15385,
DB04255,Inhibitor Bea388,,SmallMoleculeDrug,,,445305,46505264,,,BEC,,,,"",,,,,,392980,12216,
DB04256,4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid,,SmallMoleculeDrug,,,446355,46508907,43876,,MCG,,,,"",,,,,,393737,50212325,
DB04257,Palmitoleic Acid,373-49-9,SmallMoleculeDrug,C08362,,445638,46508831,28716,,PAM,,,,"",,,,,,393216,50269531,
DB04258,Seocalcitol,134404-52-7,SmallMoleculeDrug,,,20055510,46507218,,,EB1,,,,"",,,,,,4450374,,
DB04259,7n-Methyl-8-Hydroguanosine-5'-Monophosphate,,SmallMoleculeDrug,,,165838,46506194,,,7MG,,,,"",,,,,,145333,,
DB04260,"9-(5,5-Difluoro-5-Phosphonopentyl)Guanine",,SmallMoleculeDrug,,,448999,46506214,,,HA1,,,,"",,,,,,395637,50214705,
DB04261,Carbamic Acid,463-77-4,SmallMoleculeDrug,C01563,,277,46508652,28616,,OUT,,,,"",,,,,,271,50369454,
DB04262,3-(7-hydroxy-8-ribityllumazine-6-yl) propionic acid,,SmallMoleculeDrug,,,,46504562,,,RLP,,,,"",,,,,,16744181,,
DB04263,Geneticin,49863-47-0,SmallMoleculeDrug,C17703,,123865,46505367,,,GET,,,,"",,,G418,,,110402,,
DB04264,"(10R)-10-Formyl-5,8,10-Trideazafolic Acid","",SmallMoleculeDrug,,,444729,46504612,,,NHR,,,,"",,,,,,392574,,
DB04265,N-acetyl-beta-neuraminic acid,19342-33-7,SmallMoleculeDrug,,,445063,46508038,45744,,SLB,,,,"",,,,,,392810,50063302,
DB04266,"5-(6-D-Ribitylamino-2,4-Dihydroxypyrimidin-5-Yl)-1-Pentyl-Phosphonic Acid",,SmallMoleculeDrug,,,445357,46506658,,,INJ,,,,"",,,,,,393014,,
DB04267,Dipicolinic Acid,,SmallMoleculeDrug,,,10367,46505713,46837,,PDC,,,,"",,,,,,9940,26116,
DB04268,Methylumbelliferyl Chitotriose,,SmallMoleculeDrug,,,5289535,46507843,,,UMG,,,,"",,,,,,4451481,,
DB04269,Cyclotheonamide A,129033-04-1,SmallMoleculeDrug,,,5287991,46507851,,,CTA,,,,"",,,,,,4450240,50118723,
DB04270,(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid,,SmallMoleculeDrug,,,446758,46505561,,,YPA,,,,"",,,,,,394037,50109547,
DB04271,"3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",,SmallMoleculeDrug,,,215436,46506928,,,DEE,,,,"",,,,,,186783,14779,
DB04273,"8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine",,SmallMoleculeDrug,,,121938,46504496,,,LY1,,,,"",,,,,,108782,14061,
DB04274,"5,4'-Dideoxyflavanone",,SmallMoleculeDrug,,,688857,46507009,41888,,DDC,,,,"",,,,,,600255,,
DB04275,N-Acetyl Serotonin,,SmallMoleculeDrug,C00978,,903,46507511,17697,PA140222717,ASE,,,,"",,,,,,879,29612,
DB04276,N-[N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-Butyl]-Guanidine,,SmallMoleculeDrug,,,5288145,46505123,30270,,E64,,,,"",,,,,,4450371,,
DB04277,Fructose -6-Phosphate,,SmallMoleculeDrug,,,5459952,46508328,47947,,TG6,,,,"",,,,,,4573670,,
DB04278,2-[2-(2-Cyclohexyl-2-Guanidino-Acetylamino)-Acetylamino]-N-(3-Mercapto-Propyl)-Propionamide,,SmallMoleculeDrug,,,5496715,46505946,,,NMP,,,,"",,,,,,4593463,,
DB04279,3-Isopropylmalic Acid,,SmallMoleculeDrug,,,36,46509193,35114,,IPM,,,,"",,,,,,35,,
DB04280,"((2r,3s,5r)-3-Hydroxy-5-(4-Hydroxy-2-Oxo-3,4-Dihydropyrimidin-1(2h)-Yl)-Tetrahydrofuran-2-Yl)Methyldihydrogen Phosphate",,SmallMoleculeDrug,,,449076,46505026,,,DDN,,,,"",,,,,,395700,,
DB04281,"2-[4-(4-Chlorophenyl)Cyclohexylidene]-3,4-Dihydroxy-1(2h)-Naphthalenone",,SmallMoleculeDrug,,,5287621,46505520,,,AFI,,,,"",,,,,,,,
DB04282,2-deoxy-2-fluoro-α-D-glucose,"",SmallMoleculeDrug,,,445226,46505526,49132,,G2F,,,,"",,,,,,392923,,
DB04283,2-Bromo-6-Hydroxy-Purine,,SmallMoleculeDrug,,,447087,46506540,,,BOA,,,,"",,,,,,394278,,
DB04284,L-proline betaine,471-87-4,SmallMoleculeDrug,C10172,,115244,46504751,35280,,PBE,,,,"",,,,,,103115,,
DB04285,"{4-[(2s,4e)-2-(1,3-Benzothiazol-2-Yl)-2-(1h-1,2,3-Benzotriazol-1-Yl)-5-Phenylpent-4-Enyl]Phenyl}(Difluoro)Methylphosphonic Acid",,SmallMoleculeDrug,,,448025,46508576,,,P90,,,,"",,,,,,394957,,
DB04286,beta-D-Ribopyranose,7296-60-8,SmallMoleculeDrug,C08353,,441481,46508710,27476,,RIP,,,,"",,,,,,390205,,
DB04287,(S)-5-(4-Benzyloxy-Phenyl)-4-(7-Phenyl-Heptanoylamino)-Pentanoic Acid,,SmallMoleculeDrug,,,446400,46505081,,,BHP,,,,"",,,,,,393769,82331,
DB04288,2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine,,SmallMoleculeDrug,,,3543,46506715,,,I17,,,,"",,,,,,16744044,11460,
DB04289,Genz-10850,,SmallMoleculeDrug,,,447767,46505964,,,GEQ,,,,"",,,,,,394767,25796,
DB04290,[2-Cytidylate-O'-Phosphonyloxyl]-Ethyl-Trimethyl-Ammonium,,SmallMoleculeDrug,C00307,,13804,46506080,16436,,CDC,,,,"",,,,,,13207,,
DB04291,Oxfenicine,32462-30-9,SmallMoleculeDrug,C12323,D05292,36143,46508228,31755,,D4P,,,,"",,,,,,33241,50403035,
DB04292,4-[(Isopropylamino)Methyl]Phenylalanine,,SmallMoleculeDrug,,,46936944,46506065,,,IAM,,,,"",,,,,,25057680,,
DB04293,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,,SmallMoleculeDrug,,,12897341,46507072,,,LOR,,,,"",,,,,,26330257,,
DB04294,5-Phosphoribosyl-1-(Beta-Methylene) Pyrophosphate,,SmallMoleculeDrug,,,448176,46507418,,,PPC,,,,"",,,,,,395060,,
DB04295,N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea,,SmallMoleculeDrug,,,446600,46507569,,,BZD,,,,"",,,,,,393917,50263771,
DB04296,5-Oxo-L-Norleucine,,SmallMoleculeDrug,,,5289072,46509131,,,ONL,,,,"",,,,,,4451108,,
DB04297,"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",,SmallMoleculeDrug,,,444732,46506659,46024,,TSN,,,,"",,,,,,392575,50005711,
DB04298,"3-(4-Amino-2-Tert-Butyl-5-Methyl-Phenylsulfanyl)-6-Cyclopentyl-4-Hydroxy-6-[2-(4-Hydroxy-Phenyl)-Ethyl]-5,6-Dihydro-Pyran-2-One",,SmallMoleculeDrug,,,54688711,46506710,,,NH1,,,,"",,,,,,16744129,,
DB04299,Maleic Acid,110-16-7,SmallMoleculeDrug,C01384,,444266,46508977,18300,,MAE,,,,"",,,Maleic_acid,,,392248,,
DB04300,"(1s,3r,4r,6s)-1,3,4,6-Tetrapkisphosphate",,SmallMoleculeDrug,C04477,,121969,46506539,16155,,I4P,,,,"",,,,,,17216082,,
DB04301,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate,,SmallMoleculeDrug,,,131704276,46509181,,,BAH,,,,"",,,,,,2292,,
DB04302,"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One",82079-32-1,SmallMoleculeDrug,C11165,,445629,46505720,,,TLM,,,,"",,,,,,16744232,50180132,
DB04303,4-O-methyl-alpha-D-glucuronic acid,,SmallMoleculeDrug,,,445994,46508357,,,GCV,,,,"",,,,,,393470,,
DB04304,L-Gluconic Acid,526-97-6,SmallMoleculeDrug,,,6857417,46509025,16154,PA449770,2UF,,,,5800,,,,,,5256756,,
DB04306,"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine",,SmallMoleculeDrug,,,446245,46504871,,,TQ4,,,,"",,,,,,393654,18046,
DB04307,5-Hydroxy-N-Propargyl-1(R)-Aminoindan,,SmallMoleculeDrug,,,5289289,46507374,,,RHP,,,,"",,,,,,4451284,10799,
DB04308,D-4-hydroxyphenylglycine,22818-40-2,SmallMoleculeDrug,C03493,,89853,46506018,15695,,GHP,,,,"",,,,,,81106,,
DB04310,2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,13434-13-4,SmallMoleculeDrug,C12056,,443600,46505294,,,BB2,,,,"",,,,,,391756,50089194,
DB04311,4-Phenylbutylamine,,SmallMoleculeDrug,,,83242,46507483,,,PBN,,,,"",,,,,,75107,50113840,
DB04312,"2,3-Difluorobenzyl Alcohol",,SmallMoleculeDrug,,,447153,46507720,41883,,DFB,,,,"",,,,,,394331,,
DB04313,(3S)-3-methyl-D-aspartic acid,,SmallMoleculeDrug,,,5287600,46507756,,,ACB,,,,"",,,,,,4449932,,
DB04314,1-Methylcytosine,,SmallMoleculeDrug,,,79143,46506437,39624,,1MC,,,,"",,,,,,71474,,
DB04315,Guanosine-5'-Diphosphate,146-91-8,SmallMoleculeDrug,C00035,,8977,46508144,17552,,GDP,,,,"",,,,,,8630,92459,
DB04316,D-[(N-Hydroxyamino)Carbonyl]Phenylalanine,,SmallMoleculeDrug,,,446049,46505824,,,INF,,,,"",,,,,,393509,,
DB04317,"3,3-Dichloro-2-Phosphonomethyl-Acrylic Acid",,SmallMoleculeDrug,,,367584,46508547,,,DCO,,,,"",,,,,,326324,,
DB04318,Nα-[(2S)-2-{[(S)-[(1S)-1-{[(Benzyloxy)carbonyl]amino}-2-phenylethyl](hydroxy)phosphoryl]methyl}-5-phenylpentanoyl]-L-tryptophanamide,,SmallMoleculeDrug,,,446143,46504852,,,RXP,,,,"",,,,,,393578,,
DB04320,2-Bromo-2-Propene-1-Ol,,SmallMoleculeDrug,,,446627,46508555,49514,,BRP,,,,"",,,,,,393938,,
DB04321,N-Hexylphosphonate Ethyl Ester,,SmallMoleculeDrug,,,446896,46508743,,,HEE,,,,"",,,,,,394134,50148593,
DB04322,LY249543,,SmallMoleculeDrug,,,445072,46505154,,,L24,,,,"",,,,,,392818,,
DB04323,2-Amino-3-(Cystein-S-Yl)-Isoxazolidin-5-Yl-Acetic Acid,,SmallMoleculeDrug,,,17753793,46506139,,,5CS,,,,"",,,,,,16743791,,
DB04324,Ovalicin,,SmallMoleculeDrug,,,5289086,46507847,,,OVA,,,,"",,,,,,4451121,,
DB04325,Phenethylamine,64-04-0,SmallMoleculeDrug,C05332,,1001,46507825,18397,,PEA,,,,"",,,2-phenylethylamine,,,13856352,10758,
DB04327,Phosphatidylethanolamine,,SmallMoleculeDrug,C00350,,17754130,46506543,44887,,PEE,,,,"",,,Phosphatidylethanolamine,,,16744169,,
DB04328,Shikimate-3-Phosphate,,SmallMoleculeDrug,C03175,,121947,46504914,17052,,S3P,,,,"",,,,,,108789,100283,
DB04329,Isoquinoline,119-65-3,SmallMoleculeDrug,C06323,,8405,46507258,16092,,ISQ,,,,"",,,Isoquinoline,,,8098,60921,
DB04330,Bilh 434,,SmallMoleculeDrug,,,5287508,46505529,,,434,,,,"",,,,,,4449872,,
DB04331,Monastrol,,SmallMoleculeDrug,,,794323,46508959,75384,,NAT,,,,"",,,Monastrol,,,694709,,
DB04332,2-{2-[2-2-(Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethanol,,SmallMoleculeDrug,,,90263,46507833,,,ETE,,,,"",,,,,,81488,,
DB04333,Octamethylenediamine,373-44-4,SmallMoleculeDrug,,,24250,46508806,73112,,DIA,,,,"",,,,,,22672,50129716,
DB04334,6-hydroxydopa quinone,"",SmallMoleculeDrug,,,123871,46505126,36076,,TPQ,,,,"",,,,,,16744234,,
DB04336,1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea,,SmallMoleculeDrug,,,2014,46506019,,,GP6,,,,"",,,,,,1937,,
DB04337,Methyl Isocyanide,,SmallMoleculeDrug,,,11646,46505791,44177,,MNC,,,,"",,,,,,11156,,
DB04338,SB220025,,SmallMoleculeDrug,,,5164,46506944,82713,,SB4,,,,"",,,,,,4980,15239,
DB04340,2-[(Dioxidophosphoranyl)oxy]benzoate,,SmallMoleculeDrug,,,6398365,46508745,,,2PB,,,,"",,,,,,21542320,,
DB04341,S-(3-Iodobenzyl)Glutathione,,SmallMoleculeDrug,,,449342,46508698,,,GBI,,,,"",,,,,,395901,,
DB04342,7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,,SmallMoleculeDrug,,,5488645,46505636,94604,,MXL,,,,"",,,,,,4589914,,
DB04343,Glyoxylic acid,298-12-4,SmallMoleculeDrug,C00048,,760,46507705,16891,,GLV,,,,"",,,Glyoxylic_acid,,,740,19472,
DB04345,"7,8-dimethylalloxazine",1086-80-2,SmallMoleculeDrug,C01727,,5326566,46505545,37323,,LUM,,,,"",,,,,,4483963,,
DB04346,"(2r,4s)-2-Methyl-2,3,3,4-Tetrahydroxytetrahydrofuran",,SmallMoleculeDrug,,,448719,46505649,44800,,PAV,,,,"",,,,,,395434,,
DB04347,3-Dehydroshikimate,,SmallMoleculeDrug,C02637,,439774,46507545,30918,,3DS,,,,"",,,3-Dehydroshikimic_acid,,,388830,,
DB04348,Taurocholic Acid,81-24-3,SmallMoleculeDrug,C05122,,6675,46508273,28865,,TCH,,,,"",,,,,,6423,50375594,
DB04349,"(S)-propane-1,2-diol",,SmallMoleculeDrug,C02917,,439846,46508427,29002,,PGO,,,,"",,,Propylene_glycol,,,388890,,
DB04350,Argadin,289665-92-5,SmallMoleculeDrug,,,449123,46508598,,,,,,,"",,,Argadin,,,395740,10854,
DB04351,Aconitate Ion,,SmallMoleculeDrug,,,5459816,46508929,16383,,TRA,,,,"",,,,,,4573582,,
DB04352,beta-D-Ribose-5-phosphate,34980-66-0,SmallMoleculeDrug,,,447634,46506522,45425,,RP5,,,,"",,,,,,394672,,
DB04353,{(1s)-1-Benzyl-4-[3-Carbamoyl-1-(1-Carbamoyl-2-Phenyl-Ethylcarbamoyl)-(S)-Propylcarbamoyl]-2-Oxo-5-Phenyl-Pentyl}-Carbamic Acid Tert-Butyl Ester,,SmallMoleculeDrug,,,6323486,46507702,,,Q50,,,,"",,,,,,4883443,,
DB04356,9-Deazaguanine,,SmallMoleculeDrug,,,100684,46508363,,,9DG,,,,"",,,,,,90969,50108005,
DB04357,Pteric Acid,,SmallMoleculeDrug,,,4472713,46508179,40856,,APT,,,,"",,,,,,3671073,,
DB04359,Vinylsulphonic Acid,,SmallMoleculeDrug,,,62474,46507963,,,VSO,,,,"",,,,,,56254,,DNC001496
DB04360,Benzo[B]Thiophene-2-Boronic Acid,,SmallMoleculeDrug,,,2359,46506748,,,BZB,,,,"",,,,,,2269,26139,
DB04361,Methyldiazene,26981-93-1,SmallMoleculeDrug,,,123421,46504560,,,HDN,,,,"",,,,,,110018,,
DB04362,Adenosine Diphosphate 5-(Beta-Ethyl)-4-Methyl-Thiazole-2-Carboxylic Acid,,SmallMoleculeDrug,,,5287651,46507777,139151,,AHZ,,,,"",,,,,,4449975,,
DB04363,Mesobiliverdin Iv Alpha,,SmallMoleculeDrug,,,131704277,46508213,,,MBV,,,,"",,,,,,16744098,,
DB04364,(R)-acetoin,,SmallMoleculeDrug,C00810,,439314,46507138,15686,,HBR,,,,"",,,,,,388445,,
DB04365,Arecoline,63-75-2,SmallMoleculeDrug,C10129,,2230,46507231,2814,,,,,,"",,,Arecoline,,,13872064,46858,
DB04366,3'-Deoxy 3'-Amino Adenosine-5'-Diphosphate,,SmallMoleculeDrug,,,446090,46505406,,,3AN,,,,"",,,,,,393538,,
DB04367,Debromohymenialdisine,,SmallMoleculeDrug,,,5288032,46505283,,,DBQ,,,,"",,,,,,4450275,16591,
DB04368,Bb-3497,235784-88-0,SmallMoleculeDrug,,,159596,46504617,,,BB1,,,,"",,,,,,140323,50104501,DNC000283
DB04369,"1,3,2-Dioxaborolan-2-Ol",,SmallMoleculeDrug,,,5289333,46508251,,,SBE,,,,"",,,,,,4451323,,
DB04370,S-sulphocysteine,1637-71-4,SmallMoleculeDrug,C05824,,115015,46505164,27891,,CSU,,,,"",,,,,,102939,50269414,
DB04371,AL6528,,SmallMoleculeDrug,,,1514,46507222,,,AL6,,,,"",,,,,,1460,11938,
DB04372,Di-Linoleoyl-3-Sn-Phosphatidylcholine,,SmallMoleculeDrug,,,5288075,46506549,86129,,DLP,,,,"",,,,,,4450312,,
DB04373,"4-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide",,SmallMoleculeDrug,,,446912,46505068,,,R36,,,,"",,,,,,394146,,
DB04374,"4-Carboxy-5-(1-Pentyl)Hexylsulfanyl-1,2,3-Triazole",,SmallMoleculeDrug,,,444302,46506477,,,HST,,,,"",,,,,,392274,,
DB04376,13-Acetylphorbol,,SmallMoleculeDrug,,,499953,46507195,45127,,PRB,,,,"",,,,,,437370,,
DB04377,3-Hydroxy-3-Methyl-Glutaric Acid,,SmallMoleculeDrug,C03761,,1662,46508063,16831,,MAH,,,,"",,,,,,1600,50160720,
DB04378,"3-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide",,SmallMoleculeDrug,,,446917,46507593,,,R37,,,,"",,,,,,394151,,
DB04379,N-Methyl-N-(Methylbenzyl)Formamide,,SmallMoleculeDrug,,,444567,46505666,,,,,,,"",,,,,,392462,,
DB04380,Diureido-Acetate,,SmallMoleculeDrug,,,5287444,46508812,17536,,1AL,,,,"",,,,,,4449824,,
DB04381,Crotonaldehyde,,SmallMoleculeDrug,C19377,,447466,46506682,41607,,CRD,,,,"",,,Crotonaldehyde,,,394562,50318489,
DB04382,2-Deoxy-Beta-D-Galactose,,SmallMoleculeDrug,,,446586,46507073,,,2DG,,,,"",,,,,,393904,,
DB04383,L-Valinol,2026-48-4,SmallMoleculeDrug,,,640993,46508380,,,VOL,,,,"",,,,,,556322,18160,
DB04384,Fe-Mesopone,,SmallMoleculeDrug,,,131704278,46507326,,,HIF,,,,"",,,,,,61715375,,
DB04385,3-Deazacytidine,,SmallMoleculeDrug,,,97577,46506727,,,CTD,,,,"",,,,,,88071,,
DB04386,"4,6-O-(1-Carboxyethylidene)-Beta-D-Glucose",,SmallMoleculeDrug,,,46936963,46506726,61745,,CEG,,,,"",,,,,,26330276,,
DB04387,1-Hydroxy-2-Amino-3-Cyclohexylpropane,,SmallMoleculeDrug,,,444569,46506482,,,,,,,"",,,,,,392464,50367060,
DB04388,4-Carboxy-4-Aminobutanal,,SmallMoleculeDrug,C01165,,193305,46507715,58066,,CAB,,,,"",,,,,,167744,,
DB04389,Ado-P-Ch2-P-Ps-Ado,,SmallMoleculeDrug,,,6858209,46505234,,,IB2,,,,"",,,,,,5257472,,
DB04391,Aeruginosin 98-B,,SmallMoleculeDrug,,,444346,46509169,,,,,,,"",,,,,,392303,,
DB04392,"Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]",,SmallMoleculeDrug,,,17753965,46508476,,,DTC,,,,"",,,,,,16743957,,
DB04393,Soneclosan,3380-30-1,SmallMoleculeDrug,,,18807,46506579,,,DCN,,,,"",,,,,,17759,,
DB04394,3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide,,SmallMoleculeDrug,,,3092847,46505576,,,SG1,,,,"",,,,,,2348736,13073,
DB04395,Phosphoaminophosphonic Acid-Adenylate Ester,,SmallMoleculeDrug,,,44462678,46507028,,,A0P,,,,"",,,,,,26326149,18134,
DB04396,Thiodigalactoside,51555-87-4,SmallMoleculeDrug,,,119138,46509001,,,TDG,,,,"",,,,,,106443,50077225,
DB04397,Alpha-D-Glucose-1-Phosphate-6-Vanadate,,SmallMoleculeDrug,,,46936967,46507742,,,VG1,,,,"",,,,,,58829632,50094936,
DB04400,"L-erythro-7,8-dihydrobiopterin",6779-87-9,SmallMoleculeDrug,,,119055,46508233,43029,,HBI,,,,"",,,,,,106382,,
DB04401,"[Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde",,SmallMoleculeDrug,C00576,,249,46508227,15710,,BTL,,,,"",,,,,,244,,
DB04404,Allosamizoline,,SmallMoleculeDrug,,,5287673,46504658,,,AMI,,,,"",,,,,,4449993,,
DB04405,"2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid",,SmallMoleculeDrug,,,448384,46506783,,,DEO,,,,"",,,,,,395202,,
DB04406,3-(Phosphonomethyl)Pyridine-2-Carboxylic Acid,,SmallMoleculeDrug,,,1629,46507846,,,PMC,,,,"",,,,,,1567,,
DB04407,4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol,,SmallMoleculeDrug,,,447960,46505843,,,CK6,,,,"",,,,,,394905,8054,
DB04408,Ncs-Chromophore,81604-85-5,SmallMoleculeDrug,C12049,,447545,46507609,29655,,CHR,,,,"",,,,,,394601,,
DB04409,Naphthalene Trisulfonate,,SmallMoleculeDrug,,,4437,46506834,44434,,NTS,,,,"",,,,,,4284,50103242,
DB04410,3-Phenylpropylamine,2038-57-5,SmallMoleculeDrug,,,16259,46506901,,,PRA,,,,"",,,,,,15427,50113826,
DB04411,Alpha-N-Dichloroacetyl-P-Aminophenylserinol,,SmallMoleculeDrug,,,445896,46504616,,,CLK,,,,"",,,,,,393391,,
DB04414,Heptamolybdate,,SmallMoleculeDrug,,,131704280,46505678,,,MO7,,,,"",,,,,,,,
DB04415,3-Amino-1-Chloro-4-Phenyl-Butanol-2-Yl,,SmallMoleculeDrug,,,5289149,46508280,,,PHK,,,,"",,,,,,4451170,,
DB04416,"R-2-{[4'-Methoxy-(1,1'-Biphenyl)-4-Yl]-Sulfonyl}-Amino-6-Methoxy-Hex-4-Ynoic Acid",,SmallMoleculeDrug,,,446165,46505316,,,MBS,,,,"",,,,,,393597,,
DB04417,P-Nitrophenol,100-02-7,SmallMoleculeDrug,C00870,,980,46507119,16836,,NPO,,,,"",,,4-Nitrophenol,,,955,,DNC000371
DB04418,Adenylosuccinic Acid,19046-78-7,SmallMoleculeDrug,C03794,,447145,46509168,15919,,2SA,,,,"",,,,,,394323,,
DB04419,D-norleucine,327-56-0,SmallMoleculeDrug,,,456468,46507238,42101,,DNE,,,,"",,,,,,401917,,
DB04421,Nicotinamide Adenine Dinucleotide 3-Pentanone Adduct,,SmallMoleculeDrug,,,131704281,46506591,,,NAQ,,,,"",,,,,,16744125,,
DB04422,2-Amino-4-Mercapto-Butyric Acid,,SmallMoleculeDrug,C00155,,91552,46507349,58199,,HCS,,,,"",,,,,,82666,50242405,
DB04423,Coproporphyrin I Containing Co(Iii),,SmallMoleculeDrug,,,5476798,46508034,,,PC3,,,,"",,,,,,22252506,,
DB04424,RPR128515,,SmallMoleculeDrug,,,5497056,46505559,,,RPR,,,,"",,,,,,4593652,12597,
DB04425,"7,8-Dihydroneopterin",,SmallMoleculeDrug,C04874,,65074,46507616,17001,,NPR,,,,"",,,,,,58584,,
DB04426,Alpha-Methyl-N-Acetyl-D-Glucosamine,,SmallMoleculeDrug,,,445750,46508169,,,MAG,,,,"",,,,,,393301,,
